category,subcategory,date,location,payee,description,method,amount
Food/Drink,Fast Food,5/9/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 05/07 SQ *THE LITTLE CHI SAN FRANCISCO CA S586129048719513 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2732
Food/Drink,Groceries,5/9/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/08 FALLETTI FOODS SAN FRANCISCO CA S286129790513307 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1630
Food/Drink,Groceries,5/9/16,,FALLETTI FOODS 308 BRO,PURCHASE AUTHORIZED ON 05/08 FALLETTI FOODS 308 BRO SAN FRANCISCO CA P00386130010604510 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4674
Food/Drink,Restaurants,5/9/16,,BAMCO PUBLIC H,PURCHASE AUTHORIZED ON 05/05 BAMCO PUBLIC H5322 SAN FRANCISCO CA S466127167160957 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1800
Food/Drink,Restaurants,5/9/16,,BURGERMEISTER CAST,PURCHASE AUTHORIZED ON 05/05 BURGERMEISTER CAST SAN FRANCISCO CA S586126055965536 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2548
Food/Drink,Restaurants,5/9/16,,RAGAZZA,PURCHASE AUTHORIZED ON 05/06 RAGAZZA SAN FRANCISCO CA S306128053281919 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3969
Travel,Rental Car,5/9/16,,LYFT RIDE THU,PURCHASE AUTHORIZED ON 05/05 LYFT *RIDE THU 1 LYFT.COM CA S306127199762455 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1490
Shopping,Other Shopping,5/10/16,,PAYPAL,PAYPAL INST XFER 160510 ORIENTALTRA TRAVIS LAWRENCE PAYPALSI77 ORIENTALTRA 0O00000091003758667276,Old Checking XXXXXX5384,3798
Food/Drink,Fast Food,5/11/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 05/10 SQ *THE LITTLE CHI SAN FRANCISCO CA S386132135463229 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1855
Food/Drink,Groceries,5/11/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/09 FALLETTI FOODS SAN FRANCISCO CA S086131046000096 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2625
Food/Drink,Groceries,5/11/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/09 FALLETTI FOODS SAN FRANCISCO CA S086130558108539 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1710
Food/Drink,Bars/Alcohol,5/12/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/10 SUPERETE MARKET SAN FRANCISCO CA S006132041882298 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3527
Food/Drink,Restaurants,5/13/16,,ESCAPE FRM NEW YRK,PURCHASE AUTHORIZED ON 05/11 ESCAPE FRM NEW YRK SAN FRANCISCO CA S386133053842664 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3204
Food/Drink,Other Food/Drink,5/13/16,,SQ CAFE ME,PURCHASE AUTHORIZED ON 05/12 SQ *CAFE ME SAN FRANCISCO CA S306133606589174 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,922
Shopping,Other Shopping,5/13/16,,PAYPAL,PAYPAL INST XFER 160513 R G STUFF TRAVIS LAWRENCE PAYPALSI77 R G STUFF 0O00000091003654181090,Old Checking XXXXXX5384,1942
Uncategorized Payments,Checks Written,5/13/16,,,CASHED CHECK,Old Checking XXXXXX5384,56250
Bills/Utilities,Phone/Internet,5/14/16,ATLANTA,AT&T MOBILITY,Phone/Internet-AT&T MOBILITY,Old Checking XXXXXX5384,12908
Bills/Utilities,Phone/Internet,5/14/16,SEATTLE,COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Phone/Internet-COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Old Checking XXXXXX5384,7800
Entertainment,Music,5/16/16,,APL ITUNES.COM BI,PURCHASE AUTHORIZED ON 05/15 APL* ITUNES.COM/BI 866-712-7753 CA S306135702463315 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,199
Food/Drink,Bars/Alcohol,5/16/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/13 SUPERETE MARKET SAN FRANCISCO CA S006135048389468 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3842
Food/Drink,Fast Food,5/16/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 05/15 SQ *THE LITTLE CHI SAN FRANCISCO CA S466137037402871 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2251
Food/Drink,Fast Food,5/16/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 05/13 SQ *THE LITTLE CHI SAN FRANCISCO CA S386135072092702 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2431
Food/Drink,Groceries,5/16/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/14 FALLETTI FOODS SAN FRANCISCO CA S086136040165763 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3498
Food/Drink,Restaurants,5/16/16,,SQ OAKSIDE CAFE,PURCHASE AUTHORIZED ON 05/15 SQ *OAKSIDE CAFE SAN FRANCISCO CA S466136562607230 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,990
Health,Pharmacy,5/16/16,,CVS PHARMACY,PURCHASE AUTHORIZED ON 05/15 CVS/PHARMACY #10 10188 SAN FRANCISCO CA P00386136620583247 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1391
Shopping,Sporting Goods,5/16/16,,SAN FRANCYCLO HAIG,PURCHASE AUTHORIZED ON 05/15 SAN FRANCYCLO HAIG SAN FRANCISCO CA S306136626277942 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2719
Travel,Rental Car,5/16/16,,LYFT RIDE THU,PURCHASE AUTHORIZED ON 05/13 LYFT *RIDE THU 6 LYFT.COM CA S386134545507826 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,931
Food/Drink,Bars/Alcohol,5/17/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/15 SUPERETE MARKET SAN FRANCISCO CA S006137036191669 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2715
Food/Drink,Restaurants,5/17/16,,BURGERMEISTER CAST,PURCHASE AUTHORIZED ON 05/15 BURGERMEISTER CAST SAN FRANCISCO CA S586136103962326 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3157
Shopping,Other Shopping,5/17/16,,PAYPAL,PAYPAL INST XFER 160517 ORIENTALTRA TRAVIS LAWRENCE PAYPALSI77 ORIENTALTRA 0O00000091004156613604,Old Checking XXXXXX5384,10240
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,5/18/16,CITY OF INDUSTRY,CAPITAL ONE CREDIT CARD,Card Payments (non-WF)-CAPITAL ONE CREDIT CARD,Old Checking XXXXXX5384,15000
Entertainment,Books/Magazines/Newspapers,5/18/16,,NETFLIX.COM,RECURRING PAYMENT AUTHORIZED ON 05/17 NETFLIX.COM 866-579-7172 CA S386138405433137 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,799
Health,Pharmacy,5/18/16,,WALGREENS 2145 MARKET,PURCHASE AUTHORIZED ON 05/18 WALGREENS 2145 MARKET SAN FRANCISCO CA P00386140034915340 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1081
Personal Care,Hair Care/Beauty Supply,5/18/16,,SEPHORA,PURCHASE AUTHORIZED ON 05/18 SEPHORA 58 SAN FRANCISCO CA P00466139832521051 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,11310
Entertainment,Music,5/19/16,,APL ITUNES.COM BI,PURCHASE AUTHORIZED ON 05/18 APL* ITUNES.COM/BI 866-712-7753 CA S586139332235004 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,299
Food/Drink,Bars/Alcohol,5/19/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/17 SUPERETE MARKET SAN FRANCISCO CA S086139037485555 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3776
Cash/ATM,Wells Fargo ATM,5/20/16,,,ATM WITHDRAWAL AUTHORIZED ON 05/20 SAN FRANCISCO ELLIS S SAN FRANCISCO CA 0000478 ATM ID 4260T CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,10000
Uncategorized Payments,Checks Written,5/20/16,,,CASHED CHECK,Old Checking XXXXXX5384,56250
Food/Drink,Bars/Alcohol,5/23/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/20 SUPERETE MARKET SAN FRANCISCO CA S006142002853290 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3436
Food/Drink,Bars/Alcohol,5/23/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/19 SUPERETE MARKET SAN FRANCISCO CA S086141028991377 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4918
Food/Drink,Fast Food,5/23/16,,PEETS COFFEE AND TEA,PURCHASE AUTHORIZED ON 05/21 PEETS 12902 SAN FRANCISCO CA S386142551637229 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2430
Food/Drink,Groceries,5/23/16,,SAFEWAY,PURCHASE AUTHORIZED ON 05/21 SAFEWAY STORE 1507 SAN FRANCISCO CA P00306142774758199 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,29794
Food/Drink,Restaurants,5/23/16,,RAGAZZA,PURCHASE AUTHORIZED ON 05/21 RAGAZZA SAN FRANCISCO CA S586143113361994 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,10081
Shopping,Other Shopping,5/23/16,,PAYPAL,PAYPAL INST XFER 160521 SKARDONSKY TRAVIS LAWRENCE PAYPALSI77 SKARDONSKY 0O00000091004154813770,Old Checking XXXXXX5384,13000
Travel,Rental Car,5/23/16,,LYFT RIDE FRI,PURCHASE AUTHORIZED ON 05/20 LYFT *RIDE FRI 3 LYFT.COM CA S466142047232288 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,960
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,5/24/16,DES MOINES,CITI CARDS,Card Payments (non-WF)-CITI CARDS,Old Checking XXXXXX5384,14000
Travel,Rental Car,5/24/16,,LYFT RIDE SAT,PURCHASE AUTHORIZED ON 05/21 LYFT *RIDE SAT 7 LYFT.COM CA S306143121081438 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1594
Food/Drink,Groceries,5/25/16,,FALLETTI 308 BRODERIC,PURCHASE AUTHORIZED ON 05/24 FALLETTI 308 BRODERIC SAN FRANCISCO CA P00000000353888615 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1792
Insurance/Financial,Other Insurance/Financial,5/26/16,,VENMO,VENMO-2 PAYMENT XXXXX8947 TRAVIS LAWRENCE 3264681992 215628947 0O00000091003859534514,Old Checking XXXXXX5384,46000
Food/Drink,Restaurants,5/27/16,,BURGERS AND B,PURCHASE AUTHORIZED ON 05/25 4505 BURGERS AND B SAN FRANCISCO CA S466147092108594 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1152
Auto/Transportation,Parking/Tolls,5/31/16,,MUNICIPAL TRANSPOR,PURCHASE AUTHORIZED ON 05/30 MUNICIPAL TRANSPOR SAN FRANCISCO CA S386151570999876 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,225
Auto/Transportation,Parking/Tolls,5/31/16,,MUNICIPAL TRANSPOR,PURCHASE AUTHORIZED ON 05/30 MUNICIPAL TRANSPOR SAN FRANCISCO CA S386151816101981 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,225
Auto/Transportation,Parking/Tolls,5/31/16,,MUNICIPAL TRANSPOR,PURCHASE AUTHORIZED ON 05/30 MUNICIPAL TRANSPOR SAN FRANCISCO CA S586151608671385 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,56
Entertainment,Music,5/31/16,,APL ITUNES.COM BI,PURCHASE AUTHORIZED ON 05/30 APL* ITUNES.COM/BI 866-712-7753 CA S586150728240789 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1499
Food/Drink,Bars/Alcohol,5/31/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/29 SUPERETE MARKET SAN FRANCISCO CA S086151094361212 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3363
Food/Drink,Bars/Alcohol,5/31/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/27 SUPERETE MARKET SAN FRANCISCO CA S166149084072111 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2473
Food/Drink,Fast Food,5/31/16,,PEETS COFFEE AND TEA,PURCHASE AUTHORIZED ON 05/29 PEETS 12902 SAN FRANCISCO CA S586150530153430 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2440
Food/Drink,Fast Food,5/31/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 05/27 SQ *THE LITTLE CHI SAN FRANCISCO CA S306149086142048 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2374
Food/Drink,Groceries,5/31/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/28 FALLETTI FOODS SAN FRANCISCO CA S006150028917744 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2612
Food/Drink,Groceries,5/31/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/29 FALLETTI FOODS SAN FRANCISCO CA S086150529111860 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,788
Food/Drink,Groceries,5/31/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/27 FALLETTI FOODS SAN FRANCISCO CA S286149012848999 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3343
Food/Drink,Restaurants,5/31/16,,BURGERS AND B,PURCHASE AUTHORIZED ON 05/29 4505 BURGERS AND B SAN FRANCISCO CA S386151013372266 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4868
Health,Pharmacy,5/31/16,,CVS PHARMACY,PURCHASE AUTHORIZED ON 05/28 CVS/PHARMACY #10 10188 SAN FRANCISCO CA P00466149832010459 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,821
Insurance/Financial,Other Insurance/Financial,5/31/16,,SQC TRAN,PURCHASE AUTHORIZED ON 05/28 SQC*TRAN 8774174551 CA S306149495177967 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,56250
Shopping,Clothing/Accessories,5/31/16,,PACIFIC SUNWEAR OF CAL,PURCHASE AUTHORIZED ON 05/31 PACIFIC SUNWEAR OF CAL SAN FRANCISCO CA P00306152723303336 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8963
Bills/Utilities,Gas/Electric,6/1/16,SACRAMENTO,PACIFIC GAS & ELECTRIC -PG&E,Gas/Electric-PACIFIC GAS & ELECTRIC -PG&E,Old Checking XXXXXX5384,4231
Food/Drink,Groceries,6/1/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/30 FALLETTI FOODS SAN FRANCISCO CA S086152063875357 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4399
Food/Drink,Groceries,6/1/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 05/30 FALLETTI FOODS SAN FRANCISCO CA S006151631828781 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3694
Food/Drink,Restaurants,6/1/16,,ZAZIE RESTAURANT,PURCHASE AUTHORIZED ON 05/30 ZAZIE RESTAURANT SAN FRANCISCO CA S386151611192628 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8591
Cash/ATM,Non-Wells Fargo ATM,6/2/16,,,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/02 900 AIRLINE DR 0006540015 KENNER LA 00466154744015237 ATM ID WBIP2194 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20300
Food/Drink,Bars/Alcohol,6/2/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 05/31 SUPERETE MARKET SAN FRANCISCO CA S006153089488372 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1248
Food/Drink,Fast Food,6/2/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 06/01 SQ *THE LITTLE CHI SAN FRANCISCO CA S306154052208951 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2487
Cash/ATM,Non-Wells Fargo ATM,6/3/16,,,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/03 240 ROYAL ST CHASE NEW ORLEANS LA 00466155711903469 ATM ID LA2578 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20300
Credit Card/Loan Payments,Car Payments,6/3/16,CAROL STREAM,TOYOTA FINANCIAL SERVICES,Car Payments-TOYOTA FINANCIAL SERVICES,Old Checking XXXXXX5384,40907
Entertainment,Books/Magazines/Newspapers,6/3/16,,GOOGLE GOOGLE STO,PURCHASE AUTHORIZED ON 06/02 GOOGLE *Google Sto g.co/payhelp# CA S586154685529492 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,199
Food/Drink,Bars/Alcohol,6/3/16,,SUPERETE MARKET,PURCHASE AUTHORIZED ON 06/01 SUPERETE MARKET SAN FRANCISCO CA S166154050200880 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2714
Insurance/Financial,Other Insurance/Financial,6/3/16,DALLAS,STATE FARM INSURANCE COMPANIES,Other Insurance/Financial-STATE FARM INSURANCE COMPANIES,Old Checking XXXXXX5384,27510
Travel,Rental Car,6/3/16,,LYFT RIDE THU,PURCHASE AUTHORIZED ON 06/02 LYFT *RIDE THU 4 LYFT.COM CA S306154430755949 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,6101
Credit Card/Loan Payments,Mortgage Payments,6/4/16,Vallejo,JACKSON SQUARE WEST HOA,Mortgage Payments-Jackson Square West HOA,Old Checking XXXXXX5384,33500
Cash/ATM,Non-Wells Fargo ATM,6/6/16,,,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/03 632 BOURBON STRP113259 NEW ORLEANS LA 00586156144397124 ATM ID P113259 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,10500
Cash/ATM,Non-Wells Fargo ATM,6/6/16,,,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/04 511 BOURBON ST P98785 NEW ORLEANS LA 00586157204598233 ATM ID P98785 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,10500
Food/Drink,Bars/Alcohol,6/6/16,,FAMOUS DOOR,PURCHASE AUTHORIZED ON 06/03 Famous Door NEW ORLEANS LA S466155281877705 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1500
Health,Pharmacy,6/6/16,,WALGREENS 45 CASTRO ST,PURCHASE AUTHORIZED ON 06/06 WALGREENS 45 CASTRO ST SAN FRANCISCO CA P00586158834018595 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,862
Insurance/Financial,Other Insurance/Financial,6/6/16,,ROCK & BREWS,PURCHASE AUTHORIZED ON 06/03 ROCK & BREWS LOS ANGELES CA S586154552864178 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5900
Insurance/Financial,Other Insurance/Financial,6/6/16,,WELLS FARGO,NON-WELLS FARGO ATM TRANSACTION FEE,PMA Checking XXXXXX5366,250
Insurance/Financial,Other Insurance/Financial,6/6/16,,WELLS FARGO,NON-WELLS FARGO ATM TRANSACTION FEE,PMA Checking XXXXXX5366,250
Travel,Airfare,6/6/16,,DELTA,PURCHASE AUTHORIZED ON 06/02 DELTA AIR 006017 ATLANTA GA S466154624095843 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,700
Travel,Airfare,6/7/16,,SPIRIT AIRLINES,PURCHASE AUTHORIZED ON 06/05 SPIRIT AIRL 487013 MIRAMAR FL S466157672548099 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5500
Travel,Rental Car,6/7/16,,SMART TAXI ENTERPR,PURCHASE AUTHORIZED ON 06/05 SMART TAXI ENTERPR PLEASANTON CA S086158184324273 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,7819
Food/Drink,Fast Food,6/8/16,,SQ THE LITTLE CHI,PURCHASE AUTHORIZED ON 06/07 SQ *THE LITTLE CHI SAN FRANCISCO CA S466160060276676 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2374
Auto/Transportation,Gasoline,6/9/16,,SOLEDAD STATION,PURCHASE AUTHORIZED ON 06/09 SOLEDAD STATION SOLEDAD CA P00386161831357409 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3682
Auto/Transportation,Gasoline,6/9/16,,SOLEDAD STATION,PURCHASE AUTHORIZED ON 06/09 SOLEDAD STATION SOLEDAD CA P00466161834085578 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,852
Credit Card/Loan Payments,Mortgage Payments,6/9/16,,JMAC LENDING,JMAC LENDING MTG PYMT 060816 0019271261 TRAVIS LAWRENCE 1541322890 0019271261 0O00000091003755963658,Old Checking XXXXXX5384,251086
Food/Drink,Fast Food,6/10/16,,CHIPOTLE,PURCHASE AUTHORIZED ON 06/09 CHIPOTLE 2293 SAN FRANCISCO CA S586161711781399 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2079
Food/Drink,Fast Food,6/13/16,,IN-N-OUT BURGER,PURCHASE AUTHORIZED ON 06/11 IN-N-OUT BURGER #9 ATASCADERO CA S286164215591140 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,832
Shopping,Gifts,6/13/16,,INK CARDS & POSTAG,PURCHASE AUTHORIZED ON 06/12 INK CARDS & POSTAG WWW.SINCERELY CA S386164623192988 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,199
Uncategorized Payments,Checks Written,6/14/16,,,DEPOSITED OR CASHED CHECK,Old Checking XXXXXX5384,5000
Entertainment,Books/Magazines/Newspapers,6/15/16,,BARNESNOBLE 894 MARSH,PURCHASE AUTHORIZED ON 06/15 BARNESNOBLE 894 Marsh an Luis Obis CA P00466167759024954 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,586
Entertainment,Recreation/Fitness/Clubs,6/15/16,,CHARLES PADDOCK ZO,PURCHASE AUTHORIZED ON 06/13 CHARLES PADDOCK ZO ATASCADERO CA S306165685362329 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2100
Shopping,Sporting Goods,6/15/16,,THE MOUNTAIN AIR,PURCHASE AUTHORIZED ON 06/15 THE MOUNTAIN AIR SAN LUIS OBIS CA P00466167771856646 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,6583
Auto/Transportation,Gasoline,6/17/16,,SHELL,PURCHASE AUTHORIZED ON 06/17 SHELL Service Station SAN LUIS OBIS CA P00466169712027905 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3649
Shopping,Electronics/Software,6/17/16,,APPLE STORE,PURCHASE AUTHORIZED ON 06/15 APPLE STORE #R199 SANLUISOBISPO CA S466167740078851 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3780
Bills/Utilities,Cable/Satellite TV,6/20/16,,NETFLIX.COM,RECURRING PAYMENT AUTHORIZED ON 06/17 Netflix.com Netflix.com CA S466169413527825 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,999
Cash/ATM,Wells Fargo ATM,6/20/16,,,ATM WITHDRAWAL AUTHORIZED ON 06/18 BROAD & TANK FARM(VON SAN LUIS OBIS CA 0000014 ATM ID 7848E CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20000
Entertainment,Music,6/20/16,,APL ITUNES.COM BI,PURCHASE AUTHORIZED ON 06/18 APL* ITUNES.COM/BI 866-712-7753 CA S386170332154342 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,299
Food/Drink,Groceries,6/20/16,,VONS,PURCHASE AUTHORIZED ON 06/18 VONS Store 2306 SAN LUIS OBIS CA P00466170592208761 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,377
Food/Drink,Restaurants,6/20/16,,CUSTOM HOUSE,PURCHASE AUTHORIZED ON 06/17 CUSTOM HOUSE AVILA BEACH CA S306169792959029 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5253
Food/Drink,Restaurants,6/20/16,,FIRESTONE GRILL,PURCHASE AUTHORIZED ON 06/15 FIRESTONE GRILL SAN LUIS OB CA S386167714416367 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,600
Food/Drink,Restaurants,6/20/16,,FIRESTONE GRILL,PURCHASE AUTHORIZED ON 06/15 FIRESTONE GRILL SAN LUIS OB CA S306167713635449 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2493
Food/Drink,Restaurants,6/20/16,,RIB LINE,PURCHASE AUTHORIZED ON 06/17 RIB LINE BBQ & GRI SAN LUIS OBIS CA S306170057371210 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4104
Uncategorized Payments,Electronic Payments,6/20/16,,AAA NCNU,AAA NCNU MEM./INS. 160617 2503697 Travis *Lawrence 0000197845 2503697 0R00000091003655600888,Old Checking XXXXXX5384,5600
Food/Drink,Restaurants,6/21/16,,WOODSTOCKS PIZZA I,PURCHASE AUTHORIZED ON 06/19 WOODSTOCKS PIZZA I SAN LUIS OBIS CA S386172044811956 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3994
Auto/Transportation,Gasoline,6/22/16,,SHELL OIL,PURCHASE AUTHORIZED ON 06/20 SHELL OIL 57446039 ATASCADERO CA S466172704301787 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2485
Bills/Utilities,Phone/Internet,6/22/16,ATLANTA,AT&T MOBILITY,Phone/Internet-AT&T MOBILITY,Old Checking XXXXXX5384,12946
Bills/Utilities,Phone/Internet,6/22/16,SEATTLE,COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Phone/Internet-COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Old Checking XXXXXX5384,7606
Food/Drink,Groceries,6/22/16,,FALLETTI FOODS,PURCHASE AUTHORIZED ON 06/20 FALLETTI FOODS SAN FRANCISCO CA S086173047216812 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3440
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,6/24/16,DES MOINES,CITI CARDS,Card Payments (non-WF)-CITI CARDS,Old Checking XXXXXX5384,14000
Food/Drink,Bars/Alcohol,6/24/16,,NEW STAR- 501 DIVISADE,PURCHASE AUTHORIZED ON 06/23 New Star- 501 DIVISADE SAN FRANCISCO CA P00000000745196273 CARD 8245,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,844
